course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
TDMT4410,,,https://www.bcit.ca/courses/logistics-management-tdmt-4410/,,program_matrix_link,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/,TDMT 4410,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR1020,,,https://www.bcit.ca/courses/introduction-to-mass-timber-construction-tmbr-1020/,,program_matrix_link,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/,TMBR 1020,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR1030,,,https://www.bcit.ca/courses/installation-of-mass-timber-structures-tmbr-1030/,,program_matrix_link,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/,TMBR 1030,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR1040,,,https://www.bcit.ca/courses/building-enclosures-for-mass-timber-construction-tmbr-1040/,,program_matrix_link,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/,TMBR 1040,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR1050,,,https://www.bcit.ca/courses/interior-components-and-services-for-mass-timber-construction-tmbr-1050/,,program_matrix_link,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/,TMBR 1050,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR1060,,,https://www.bcit.ca/courses/practicum-construction-of-mass-timber-structures-tmbr-1060/,,program_matrix_link,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/,TMBR 1060,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR3005,,,https://www.bcit.ca/courses/cost-estimation-for-mass-timber-construction-tmbr-3005/,,program_matrix_link,https://www.bcit.ca/programs/construction-management-diploma-part-time-7710dipma/,TMBR 3005,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR3010,,,https://www.bcit.ca/courses/digital-project-delivery-for-mass-timber-construction-tmbr-3010/,,program_matrix_link,https://www.bcit.ca/programs/construction-management-diploma-part-time-7710dipma/,TMBR 3010,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR3510,,,https://www.bcit.ca/courses/mass-timber-construction-fundamentals-tmbr-3510/,,program_matrix_link,https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/,TMBR 3510,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
TMBR3520,,,https://www.bcit.ca/courses/gravity-design-of-mass-timber-structures-tmbr-3520/,,program_matrix_link,https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/,TMBR 3520,,False,False,,,,discovered_unenriched,False,,,Official BCIT program page links to this course page; course detail page not enriched in this run.,official_program_link_candidate
