program_id,source_url,source_title,credential,format,domestic_only,intake_start,application_status,campus,matched
7485DIPMA,https://www.bcit.ca/programs/forest-and-natural-areas-management-diploma-full-time-7485dipma/,Forest and Natural Areas Management,Diploma,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
5325ACERT,https://www.bcit.ca/programs/foundations-in-occupational-health-and-safety-associate-certificate-part-time-5325acert/,Foundations in Occupational Health and Safety,Associate Certificate,Part-time,false,Sep 2026,Closed,Online,true
5325ACERT,https://www.bcit.ca/programs/foundations-in-occupational-health-and-safety-associate-certificate-part-time-5325acert/,Foundations in Occupational Health and Safety,Associate Certificate,Part-time,false,Jan 2027,Open,Online,true
5325ACERT,https://www.bcit.ca/programs/foundations-in-occupational-health-and-safety-associate-certificate-part-time-5325acert/,Foundations in Occupational Health and Safety,Associate Certificate,Part-time,false,Apr 2027,Open,Online,true
6535CERT,https://www.bcit.ca/programs/front-end-web-developer-certificate-full-time-6535cert/,Front-End Web Developer FWD,Certificate,Full-time,false,Sep 2026,Open,Blended: Downtown Campus,true
6535CERT,https://www.bcit.ca/programs/front-end-web-developer-certificate-full-time-6535cert/,Front-End Web Developer FWD,Certificate,Full-time,false,Apr 2027,Open,Blended: Downtown Campus,true
5880DIPLT,https://www.bcit.ca/programs/general-insurance-and-risk-management-diploma-full-time-5880diplt/,General Insurance and Risk Management,Diploma,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
5440ADCERT,https://www.bcit.ca/programs/geographic-information-systems-advanced-certificate-part-time-5440adcert/,Geographic Information Systems,Advanced Certificate,Part-time,false,Sep 2026,Closed,Online,true
5440ADCERT,https://www.bcit.ca/programs/geographic-information-systems-advanced-certificate-part-time-5440adcert/,Geographic Information Systems,Advanced Certificate,Part-time,false,Jan 2027,Open,Online,true
5440ADCERT,https://www.bcit.ca/programs/geographic-information-systems-advanced-certificate-part-time-5440adcert/,Geographic Information Systems,Advanced Certificate,Part-time - Domestic Only,true,Apr 2027,Open,Online,true
,https://www.bcit.ca/programs/geographic-information-systems/,Geographic Information Systems,Advanced Diploma,Full-time,false,Sep 2026,Closed,Burnaby Campus,false
,https://www.bcit.ca/programs/geographic-information-systems/,Geographic Information Systems,Advanced Diploma,Part-time,false,Sep 2026,Closed,Online,false
,https://www.bcit.ca/programs/geographic-information-systems/,Geographic Information Systems,Advanced Diploma,Part-time,false,Jan 2027,Open,Online,false
,https://www.bcit.ca/programs/geographic-information-systems/,Geographic Information Systems,Advanced Diploma,Part-time - Domestic Only,true,Apr 2027,Open,Online,false
8310BTECH,https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/,Geographic Information Systems,Bachelor of Technology,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
8310BTECH,https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/,Geographic Information Systems,Bachelor of Technology,Part-time,false,Sep 2026,Closed,Online,true
8310BTECH,https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/,Geographic Information Systems,Bachelor of Technology,Part-time,false,Jan 2027,Open,Online,true
8310BTECH,https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/,Geographic Information Systems,Bachelor of Technology,Part-time - Domestic Only,true,Apr 2027,Open,Online,true
7535DIPMA,https://www.bcit.ca/programs/geomatics-engineering-technology-diploma-full-time-7535dipma/,Geomatics Engineering Technology,Diploma Levels 1 - 4,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
8645BSC,https://www.bcit.ca/programs/geomatics-bachelor-of-science-full-time-8645bsc/,Geomatics,Bachelor of Science Levels 5 - 8,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
6225ACERT,https://www.bcit.ca/programs/global-business-studies-associate-certificate-part-time-6225acert/,Global Business Studies,Associate Certificate,Part-time,false,Sep 2026,Closed,Burnaby/Downtown,true
6225ACERT,https://www.bcit.ca/programs/global-business-studies-associate-certificate-part-time-6225acert/,Global Business Studies,Associate Certificate,Part-time,false,Jan 2027,Open,Burnaby/Downtown,true
6225ACERT,https://www.bcit.ca/programs/global-business-studies-associate-certificate-part-time-6225acert/,Global Business Studies,Associate Certificate,Part-time,false,Apr 2027,Open,Burnaby/Downtown,true
7475DIPMA,https://www.bcit.ca/programs/global-supply-chain-management-diploma-full-time-7475dipma/,Global Supply Chain Management,Diploma,Full-time,false,Sep 2026,Closed,Burnaby Campus,true
6247DIPMA,https://www.bcit.ca/programs/graphic-communications-diploma-full-time-6247dipma/,Graphic Communications,Diploma,Full-time,false,Sep 2026,Closed,Burnaby/Blended,true
6505ACERT,https://www.bcit.ca/programs/graphic-design-foundations-associate-certificate-part-time-6505acert/,Graphic Design Foundations,Associate Certificate,Part-time,false,Sep 2026,Closed,Blended: Burnaby/Downtown,true
6505ACERT,https://www.bcit.ca/programs/graphic-design-foundations-associate-certificate-part-time-6505acert/,Graphic Design Foundations,Associate Certificate,Part-time,false,Jan 2027,Open,Blended: Burnaby/Downtown,true
6505ACERT,https://www.bcit.ca/programs/graphic-design-foundations-associate-certificate-part-time-6505acert/,Graphic Design Foundations,Associate Certificate,Part-time,false,Apr 2027,Open,Blended: Burnaby/Downtown,true
6595DIPMA,https://www.bcit.ca/programs/graphic-design-and-interactive-media-diploma-full-time-6595dipma/,Graphic Design and Interactive Media,Diploma,Part-time,false,Sep 2026,Closed,Blended: Downtown Campus,true
6595DIPMA,https://www.bcit.ca/programs/graphic-design-and-interactive-media-diploma-full-time-6595dipma/,Graphic Design and Interactive Media,Diploma,Part-time,false,Jan 2027,Open,Blended: Downtown Campus,true
6595DIPMA,https://www.bcit.ca/programs/graphic-design-and-interactive-media-diploma-full-time-6595dipma/,Graphic Design and Interactive Media,Diploma,Part-time,false,Apr 2027,Open,Blended: Downtown Campus,true
6585CERT,https://www.bcit.ca/programs/graphic-design-certificate-full-time-part-time-6585cert/,Graphic Design,Certificate,Full-time,false,Sep 2026,Closed,Blended: Downtown Campus,true
